mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011002302169799805,0.0010877643387326391,0.005621862411499023,0.0008037505440414065,5,,scale,rbf,"{'C': 5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.8539325842696629,0.78,0.6516853932584269,0.717391304347826,0.7741935483870969,0.7554405660526026,0.06762898785661664,1,0.7473118279569892,0.7590027700831025,0.8021390374331551,0.7771739130434783,0.7675675675675675,0.7706390232168585,0.018568521460597877
0.01001129150390625,0.0006536909210044247,0.005997514724731446,0.0006368874142448541,1,,scale,rbf,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.8314606741573034,0.7843137254901961,0.6516853932584269,0.723404255319149,0.7741935483870969,0.7530115193224345,0.06119861152913503,2,0.7354497354497356,0.7506849315068492,0.7830687830687831,0.7688172043010753,0.7547169811320754,0.7585475270917037,0.016228122103889346
0.010023832321166992,0.0011081572550847645,0.005811643600463867,0.0009892469177384315,1,,auto,rbf,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.8172043010752689,0.7920792079207922,0.6666666666666666,0.7032967032967034,0.7741935483870969,0.7506880854693057,0.05656090640212674,3,0.7659574468085107,0.7616438356164383,0.8074866310160428,0.7816711590296496,0.7741935483870969,0.7781905241715477,0.01618513882912857
0.010212469100952148,0.000993699457303929,0.007199239730834961,0.0017071515565191555,1,,0.1,rbf,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.8172043010752689,0.7920792079207922,0.6666666666666666,0.7032967032967034,0.7741935483870969,0.7506880854693057,0.05656090640212674,3,0.7659574468085107,0.7616438356164383,0.8074866310160428,0.7816711590296496,0.7741935483870969,0.7781905241715477,0.01618513882912857
0.012398099899291993,0.001958559509864153,0.007999801635742187,0.0018987380851565926,1,balanced,0.1,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.8041237113402061,0.7706422018348624,0.6521739130434783,0.7368421052631579,0.7676767676767677,0.7462917398316945,0.051657065842107476,5,0.7707808564231738,0.7626262626262627,0.7969924812030075,0.7798408488063661,0.7786259541984732,0.7777732806514568,0.011425460268519051
0.010400152206420899,0.0004887413998988314,0.005798912048339844,0.000979394742827002,1,balanced,auto,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.8041237113402061,0.7706422018348624,0.6521739130434783,0.7368421052631579,0.7676767676767677,0.7462917398316945,0.051657065842107476,5,0.7707808564231738,0.7626262626262627,0.7969924812030075,0.7798408488063661,0.7786259541984732,0.7777732806514568,0.011425460268519051
0.010437965393066406,0.0010341017067166229,0.005782413482666016,0.0003906198776922549,5,balanced,scale,rbf,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.8085106382978724,0.7722772277227722,0.6444444444444444,0.7311827956989247,0.7578947368421053,0.7428619686012238,0.05517862188192746,7,0.7633587786259542,0.7608695652173914,0.8031088082901554,0.772117962466488,0.768,0.7734910229199979,0.015304988774399788
0.012800836563110351,0.0011701036147408915,0.0053955078125,0.00049183406995784,10,,scale,rbf,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.8314606741573034,0.78,0.6363636363636365,0.7032967032967034,0.7608695652173914,0.742398115807007,0.06702158865501637,8,0.7675675675675675,0.7590027700831025,0.8128342245989305,0.7814207650273224,0.7704918032786885,0.7782634261111223,0.018712996976323334
0.010808897018432618,0.0009758089136312185,0.0058078765869140625,0.00040212118876254343,5,balanced,0.1,rbf,"{'C': 5, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.7766990291262137,0.7850467289719627,0.6593406593406593,0.7676767676767677,0.7199999999999999,0.7417526370231207,0.04697361078699278,9,0.8052631578947368,0.8040712468193383,0.8174807197943444,0.8274111675126905,0.8153846153846153,0.8139221814811451,0.008588064452353814
0.010587787628173828,0.0004874520786648195,0.005606508255004883,0.000494719289296531,5,balanced,auto,rbf,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.7766990291262137,0.7850467289719627,0.6593406593406593,0.7676767676767677,0.7199999999999999,0.7417526370231207,0.04697361078699278,9,0.8052631578947368,0.8040712468193383,0.8174807197943444,0.8274111675126905,0.8153846153846153,0.8139221814811451,0.008588064452353814
