mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3789998531341553,0.08092671362525719,0.06719932556152344,0.020855951342182953,100,10,1,sqrt,90,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",0.8260869565217391,0.8316831683168316,0.6666666666666666,0.7272727272727272,0.7272727272727272,0.7557964492101383,0.06367240079888999,1,0.8797814207650274,0.8642659279778393,0.8858695652173912,0.88283378746594,0.8579387186629527,0.8741378840178301,0.010999718740168985
1.5004007816314697,0.13106279110213231,0.13940272331237794,0.025701218718072516,442,2,2,sqrt,110,True,"{'n_estimators': 442, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",0.8260869565217391,0.8282828282828283,0.6419753086419753,0.7252747252747254,0.7058823529411764,0.7455004343324889,0.07217095764358723,2,0.8852459016393444,0.8791208791208791,0.9110512129380053,0.8913043478260869,0.8888888888888888,0.8911222460826409,0.010777281645101347
0.9011982440948486,0.029750085821118544,0.09859843254089355,0.01449929095768984,271,5,4,auto,90,True,"{'n_estimators': 271, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': True}",0.8045977011494253,0.8080808080808081,0.6987951807228916,0.717391304347826,0.6904761904761905,0.7438682369554284,0.05175836376376661,3,0.8467966573816156,0.8192090395480225,0.8547945205479451,0.8516483516483516,0.8310249307479224,0.8406946999747715,0.01349932850367633
0.4865838050842285,0.026225246820307455,0.062004613876342776,0.012030168808282228,157,5,2,auto,70,True,"{'n_estimators': 157, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.8085106382978724,0.823529411764706,0.6666666666666666,0.7111111111111111,0.7045454545454546,0.7428726564771622,0.06180449803365701,4,0.8797814207650274,0.87292817679558,0.8937329700272479,0.8913043478260869,0.8797814207650274,0.8835056672357939,0.007810767809893553
1.2317986011505127,0.043004465920367156,0.10760293006896973,0.0036105988728249837,357,10,2,sqrt,20,True,"{'n_estimators': 357, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.7954545454545454,0.8200000000000001,0.6419753086419753,0.7333333333333334,0.7209302325581395,0.7423386839975987,0.06239358939495985,5,0.8531855955678671,0.8476454293628809,0.8681318681318682,0.8602739726027397,0.8476454293628809,0.8553764590056474,0.007886997181293414
0.7742007732391357,0.040768778893706045,0.0727999210357666,0.00365511380970139,271,5,2,sqrt,10,True,"{'n_estimators': 271, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.8210526315789474,0.823529411764706,0.65,0.7111111111111111,0.7045454545454546,0.7420477218000439,0.06887280825899506,6,0.8736263736263737,0.8690807799442897,0.9110512129380053,0.8888888888888888,0.8712328767123286,0.8827760264219773,0.015756734989455273
0.3576019763946533,0.07225082735439531,0.045596885681152347,0.009326810674338529,100,10,2,sqrt,100,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",0.8089887640449439,0.8080808080808081,0.6666666666666666,0.7272727272727272,0.6976744186046512,0.7417366769339593,0.057811040206566945,7,0.8531855955678671,0.8476454293628809,0.8702702702702703,0.8681318681318682,0.845303867403315,0.8569074061472403,0.010381068189155103
0.7124020099639893,0.21399507670088166,0.09380049705505371,0.03631435328318956,185,10,1,auto,70,True,"{'n_estimators': 185, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.8387096774193549,0.8041237113402061,0.6341463414634146,0.7311827956989247,0.6976744186046512,0.7411673889053103,0.0733796044493498,8,0.8618784530386742,0.87292817679558,0.8876712328767122,0.8681318681318682,0.859504132231405,0.870022772614848,0.010004566754305914
1.2677966117858888,0.08163897125043718,0.1127964973449707,0.008184092330277405,414,5,2,sqrt,110,True,"{'n_estimators': 414, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",0.8260869565217391,0.8200000000000001,0.6585365853658537,0.7096774193548386,0.6896551724137931,0.7407912267312449,0.06913491501404581,9,0.8821917808219177,0.8760330578512396,0.8997289972899729,0.8888888888888888,0.875,0.8843685449704038,0.009147297821078145
0.8486003875732422,0.23515571433180682,0.08739938735961914,0.025580411853927607,214,2,2,auto,10,True,"{'n_estimators': 214, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",0.8085106382978724,0.8039215686274509,0.6666666666666666,0.7252747252747254,0.6966292134831461,0.7402005624699722,0.05701773405854905,10,0.8736263736263737,0.8791208791208791,0.8997289972899729,0.894878706199461,0.8821917808219177,0.8859093474117209,0.009820459947656133
